STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
US1TXKS0003,"KARNES CITY 12.6 WSW, TX US",28.799067,-98.084395,114
US1TXHRR236,"BUNKER HILL VILLAGE 4.4 WSW, TX US",29.746786,-95.601494,24.1
US1TXHRR237,"WEBSTER 2.8 NNW, TX US",29.572741,-95.127139,7.3
US1TXBND033,"BANDERA 4.0 E, TX US",29.73003387,-99.00733948,380.7
US1TXTV0318,"AUSTIN 7.0 N, TX US",30.404979,-97.770507,258.5
US1TXJN0019,"CLEBURNE 4.8 NNE, TX US",32.412228,-97.370735,25
USC00419800,"WILLS POINT, TX US",32.7019,-96.015,158.5
US1TXFN0002,"RAVENNA 1.7 SE, TX US",33.654196,-96.223673,198.1
USC00417622,"RIO GRANDE CITY, TX US",26.3769,-98.8116,52.4
USC00414597,"JOE POOL LAKE, TX US",32.6405,-96.9747,180.1
US1TXMLM002,"ROCKDALE 3.6 SSW, TX US",30.608123,-97.031704,146.9
US1TXMLM001,"THORNDALE 8.8 N, TX US",30.740862,-97.213828,149.7
USC00413225,"FOLLETT, TX US",36.4327,-100.1369,844.3
US1TXTV0111,"AUSTIN 10.8 WSW, TX US",30.195271,-97.90217,277.1
USC00411048,"BRENHAM, TX US",30.1591,-96.3972,95.4
US1TXTV0113,"AUSTIN 7.3 SW, TX US",30.207183,-97.843988,229.2
US1TXTV0357,"LEANDER 4.5 WNW, TX US",30.5778,-97.9341,338
US1TXLK0051,"SLIDE 0.6 SSW, TX US",33.39862,-101.93558,993
US1TXTV0359,"AUSTIN 10.5 NNE, TX US",30.444972,-97.680947,245.7
US1TXHRR255,"NASSAU BAY 0.9 ENE, TX US",29.552219,-95.074206,3.7
USR0000THMB,"HAMBY TEXAS, TX US",32.5,-99.6167,579.1
USR0000TLUF,"LUFKIN TEXAS, TX US",31.3131,-94.8261,74.7
US1TXBND048,"PIPE CREEK 2.7 S, TX US",29.684101,-98.926803,396.8
US1TXHRR251,"JERSEY VILLAGE 8.5 NW, TX US",29.980034,-95.6624,50
US1TXOC0002,"PERRYTON 1.2 SSW, TX US",36.375992,-100.809937,897
US1TXTV0351,"MANOR 6.2 SE, TX US",30.274173,-97.493995,180.1
US1TXRS0011,"KILGORE 1.7 SSW, TX US",32.3637,-94.8739,114.6
US1TXCLD043,"LULING 7.8 ENE, TX US",29.706758,-97.521426,154.8
US1TXHST003,"CROCKETT 1.8 NNE, TX US",31.34377487,-95.44939443,98.1
US1TXKR0003,"INGRAM 4.4 NW, TX US",30.115451,-99.297679,542.5
US1TXRS0014,"HENDERSON 13.7 NNE, TX US",32.337432,-94.7019543,93
USC00412142,"CROWELL, TX US",33.9898,-99.73024,451.1
USC00414563,"JASPER, TX US",30.9152,-94.0097,62.5
USC00416742,"PADUCAH 15 S, TX US",33.8084,-100.298,558.4
US1TXTV0343,"AUSTIN 4.1 NNW, TX US",30.355789,-97.788708,231
USC00414325,"HOUSTON WESTBURY, TX US",29.66,-95.6275,15.2
USR0000TSAB,"SAN BERNARD TEXAS, TX US",28.8647,-95.5678,6.4
USC00416745,"PADUCAH 10 S, TX US",33.8758,-100.383,594.4
US1TXTV0345,"ANDERSON MILL 2.3 SW, TX US",30.4309,-97.8315,274.3
US1TXBXR065,"HOLLYWOOD PARK 5.2 NE, TX US",29.647416,-98.417802,314.6
US1TXTV0346,"LEANDER 6.4 WNW, TX US",30.5964,-97.9613,326.7
USC00416506,"ODESSA 1 SE, TX US",31.8367,-102.3586,879.7
USC00415658,"MATADOR, TX US",34.025,-100.8117,719.3
USC00418924,"TERLINGUA, TX US",29.3485,-103.595,802.5
US1TXEP0111,"EL PASO 6.9 WNW, TX US",31.876959,-106.55033,1270.7
US1TXNU0015,"CORPUS CHRISTI 9.1 NW, TX US",27.802861,-97.393186,
US1TXTV0341,"AUSTIN 6.8 NNE, TX US",30.38973,-97.690239,232.6
US1TXBND050,"BANDERA 5.2 E, TX US",29.7166,-98.988,360
US1TXHRR258,"JERSEY VILLAGE 6.4 W, TX US",29.893238,-95.675454,41.1
US1TXHRR259,"TOMBALL 4.6 SSW, TX US",30.039968,-95.656234,50.9
US1TXBND055,"MEDINA 1.1 S, TX US",29.7811,-99.2453,473.4
US1TXHRR015,"KINGWOOD 3.9 S, TX US",30.00218,-95.196038,21.6
US1TXHRR257,"FRIENDSWOOD 2.6 NE, TX US",29.53979,-95.168481,9.1
US1TXUV0033,"UVALDE 0.9 NW, TX US",29.22363,-99.79755,286.2
US1TXGD0003,"GOLIAD 2.4 SE, TX US",28.649551,-97.358453,42.1
US1TXCLD032,"LOCKHART 8.4 ESE, TX US",29.82706144,-97.54764766,135.3
US1TXGD0004,"GOLIAD 14.5 WNW, TX US",28.742355,-97.615537,79.9
US1TXCLD031,"LOCKHART 4.3 ENE, TX US",29.904818,-97.614774,150.9
US1TXRS0008,"HENDERSON 7.0 SSW, TX US",32.071761,-94.862763,138.1
US1TXUV0032,"UVALDE 16.9 W, TX US",29.224199,-100.06537,294.7
USC00415661,"MATHIS 4 SSW, TX US",28.0372,-97.8725,42.1
US1TXAC0009,"WICHITA FALLS 4.6 SSW, TX US",33.832797,-98.535963,300.5
US1TXMDL029,"MIDLAND 2.0 S, TX US",31.998546,-102.105605,860.1
